,movie,year,time_minute,imdb_rating,metascore,vote,gross_earning
930,Pink,2016,136,8.1,,47119,1.24
931,The Gold Rush,1925,95,8.1,,116049,5.45
932,Joint Security Area,2000,110,7.7,58.0,33107,
933,Sherlock Jr.,1924,45,8.2,,54411,0.98
934,Dersu Uzala,1975,142,8.2,,32582,
935,"Rome, Open City",1945,103,8.0,,28195,
936,Shershaah,2021,135,8.3,,126778,
937,The Girl Who Leapt Through Time,2006,98,7.7,66.0,69405,
938,G.O.R.A.,2004,127,8.0,,65500,
939,Battleship Potemkin,1925,66,7.9,97.0,60318,0.05
940,Veer Zaara,2004,192,7.8,67.0,55887,2.92
941,Sanjuro,1962,96,8.0,,40193,
942,Viridiana,1961,91,8.1,,25634,
943,Dev.D,2009,144,7.9,,31756,0.01
944,Sullivan's Travels,1941,90,7.9,,27958,
945,The Breadwinner,2017,94,7.7,78.0,27546,0.31
946,Elite Squad 2: The Enemy Within,2010,115,8.0,71.0,85541,0.1
947,Knockin' on Heaven's Door,1997,87,7.8,,32725,0.0
948,The Grand Illusion,1937,113,8.1,,38171,0.17
949,Munna Bhai M.B.B.S.,2003,156,8.1,,86121,
950,The Edge of Heaven,2007,122,7.7,85.0,33050,0.74
951,Rififi,1955,118,8.1,97.0,36139,0.06
952,My Life as a Zucchini,2016,70,7.8,85.0,28013,0.29
953,The Rules of the Game,1939,110,7.9,99.0,30620,
954,The Past,2013,130,7.7,85.0,50266,1.33
955,Jean de Florette,1986,120,8.1,,27015,4.94
956,Tangerines,2013,87,8.1,73.0,48075,0.14
957,Zelig,1983,79,7.7,,43473,11.8
958,Rocketry: The Nambi Effect,2022,157,8.7,,55733,
959,Soorarai Pottru,2020,153,8.7,,121110,
960,C.R.A.Z.Y.,2005,129,7.9,81.0,33806,
961,"Carry On, Munna Bhai",2006,144,8.0,,48759,2.22
962,The Way He Looks,2014,96,7.9,71.0,27094,0.1
963,Sholay,1975,162,8.1,,57828,
964,Tae Guk Gi: The Brotherhood of War,2004,140,8.0,64.0,40670,1.11
965,Winter Light,1963,81,8.0,,26428,
966,Anand,1971,122,8.1,,34810,
967,Umberto D.,1952,89,8.2,92.0,27416,0.07
968,Rangasthalam 1985,2018,170,8.2,,26702,3.51
969,Andaz Apna Apna,1994,160,8.0,,54639,
970,A Wednesday,2008,104,8.1,,81000,
971,M.S. Dhoni: The Untold Story,2016,184,8.0,,65238,1.78
972,Masaan,2015,109,8.1,,29958,
973,Bhaag Milkha Bhaag,2013,186,8.2,,70849,1.63
974,Badhaai Ho,2018,124,7.9,,36656,
975,Super 30,2019,154,7.9,,35165,2.27
976,The Bandit,1996,128,8.1,,71420,
977,Chak De! India,2007,153,8.1,68.0,83383,1.11
978,The Circus,1928,72,8.1,90.0,35349,
979,Black,2005,122,8.1,,35663,0.73
980,Pad Man,2018,140,7.9,,27820,1.66
981,Hera Pheri,2000,156,8.1,,70806,
982,Queen,2013,146,8.1,,67592,1.43
983,Kahaani,2012,122,8.1,,64683,1.04
984,Asuran,2019,141,8.4,,32172,
985,Special 26,2013,144,8.0,,58124,1.08
986,Baby,2015,159,7.9,,59331,
987,Everything's Gonna Be Great,1998,107,8.1,,26856,
988,Article 15,2019,130,8.1,,35830,
989,The Breath,2009,128,8.0,,34690,
990,Udaan,2010,134,8.1,,46356,0.01
991,English Vinglish,2012,134,7.8,,38123,1.67
992,Drishyam 2,2021,152,8.4,,39810,
993,Vizontele,2001,110,8.0,,38081,
994,Airlift,2016,130,7.9,,58254,
995,Hindi Medium,2017,132,7.8,,31217,
996,Drishyam,2013,160,8.3,,43174,
997,Vicky Donor,2012,126,7.8,,44801,0.17
998,Paan Singh Tomar,2012,135,8.2,,37407,0.04
999,Sarfarosh,1999,174,8.1,,26483,
