,movie,year,time_minute,imdb_rating,metascore,vote,gross_earning
191,The Lord of the Rings: The Two Towers,2002,179,8.8,87.0,1734877,342.55
192,The Girl with the Dragon Tattoo,2011,158,7.8,71.0,482447,102.52
193,Harry Potter and the Deathly Hallows: Part 1,2010,146,7.7,65.0,580163,295.98
194,Thor: Ragnarok,2017,130,7.9,74.0,794620,315.06
195,1917,2019,119,8.2,78.0,645134,159.23
196,A Few Good Men,1992,138,7.7,62.0,279464,141.34
197,Deadpool 2,2018,119,7.6,66.0,621216,324.59
198,Hidden Figures,2016,127,7.8,74.0,246851,169.61
199,True Romance,1993,119,7.9,59.0,237245,12.28
200,Touch of Evil,1958,95,8.0,99.0,108080,2.24
201,Toy Story,1995,81,8.3,96.0,1040671,191.8
202,The Revenant,2015,156,8.0,76.0,846720,183.64
203,The Incredibles,2004,115,8.0,90.0,781920,261.44
204,Mary Poppins,1964,139,7.8,88.0,181273,102.27
205,300,2006,117,7.6,52.0,847851,210.61
206,Howl's Moving Castle,2004,119,8.2,82.0,426606,4.71
207,Hamilton,2020,160,8.3,88.0,106819,
208,The Avengers,2012,143,8.0,69.0,1435780,623.28
209,Misery,1990,107,7.8,75.0,226873,61.28
210,V for Vendetta,2005,132,8.2,62.0,1156904,70.51
211,Lost in Translation,2003,102,7.7,91.0,475909,44.59
212,Edge of Tomorrow,2014,113,7.9,71.0,715686,100.21
213,Kung Fu Panda,2008,92,7.6,74.0,500318,215.43
214,About Time,2013,123,7.8,55.0,373135,15.32
215,The Blues Brothers,1980,133,7.9,60.0,209008,57.23
216,The Fugitive,1993,130,7.8,87.0,310112,183.88
217,Blue Is the Warmest Colour,2013,180,7.7,90.0,159608,2.2
218,Pan's Labyrinth,2006,118,8.2,98.0,690313,37.63
219,Once Upon a Time in America,1984,229,8.3,75.0,367952,5.32
220,Ex Machina,2014,108,7.7,78.0,570890,25.44
221,Airplane!,1980,88,7.7,78.0,253564,83.4
222,Full Metal Jacket,1987,116,8.3,78.0,772296,46.36
223,Life Is Beautiful,1997,116,8.6,59.0,724853,57.6
224,Minority Report,2002,145,7.6,80.0,573032,132.07
225,Inside Out,2015,95,8.1,94.0,756946,356.46
226,Casino,1995,178,8.2,73.0,547257,42.44
227,Remember the Titans,2000,113,7.8,48.0,226643,115.65
228,Wonder,2017,113,7.9,66.0,173754,132.42
229,Hell or High Water,2016,102,7.6,88.0,244349,27.01
230,Training Day,2001,122,7.7,71.0,459783,76.63
231,Predator,1987,107,7.8,47.0,442486,59.74
232,The Martian,2015,144,8.0,80.0,897196,228.43
233,Trainspotting,1996,93,8.1,83.0,711261,16.5
234,Call Me by Your Name,2017,132,7.8,94.0,298843,18.1
235,Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,82.0,1346120,290.48
236,Night of the Living Dead,1968,96,7.8,89.0,135557,0.09
237,CODA,2021,111,8.0,72.0,154072,
238,The Fly,1986,96,7.6,79.0,195787,40.46
239,"Lock, Stock and Two Smoking Barrels",1998,107,8.1,66.0,604066,3.9
240,Green Book,2018,130,8.2,69.0,538227,85.08
241,The Night of the Hunter,1955,92,8.0,97.0,94701,0.65
242,Amadeus,1984,160,8.4,87.0,418326,51.97
243,Dunkirk,2017,106,7.8,94.0,714517,188.37
244,Room,2015,118,8.1,86.0,439588,14.68
